transfer_id,from_account,to_account,amount,timestamp
TXN-000074,AC-00245,AC-00016,223365.58,2026-02-15T13:06:47.772640
TXN-000075,AC-00032,AC-00297,52277.71,2025-08-24T22:23:15.772640
TXN-000076,AC-00102,AC-00156,146445.36,2025-09-20T07:49:21.772640
TXN-000077,AC-00215,AC-00159,23999.27,2025-10-17T00:05:16.772640
TXN-000078,AC-00060,AC-00258,136170.84,2026-04-01T03:54:10.772640
TXN-000079,AC-00058,AC-00270,22188.85,2025-09-23T20:06:37.772640
TXN-000080,AC-00337,AC-00207,191723.92,2025-11-06T11:21:50.772640
TXN-000081,AC-00025,AC-00006,151399.49,2025-08-15T16:38:18.772640
TXN-000082,AC-00001,AC-00302,111770.38,2026-02-21T00:44:36.772640
TXN-000083,AC-00345,AC-00276,199109.66,2025-12-21T12:55:20.772640
TXN-000084,AC-00226,AC-00082,200084.35,2026-02-20T11:38:32.772640
TXN-000085,AC-00313,AC-00305,113091.19,2025-12-16T19:46:27.772640
TXN-000086,AC-00271,AC-00351,194495.95,2025-09-08T19:40:16.772640
TXN-000087,AC-00011,AC-00051,865.77,2026-07-01T03:35:55.772640
TXN-000088,AC-00190,AC-00128,16014.25,2026-07-08T07:25:08.772640
TXN-000089,AC-00270,AC-00133,102699.69,2026-01-29T04:26:13.772640
TXN-000090,AC-00256,AC-00098,120768.82,2026-03-16T22:38:43.772640
TXN-000091,AC-00208,AC-00150,155289.75,2026-01-31T03:55:32.772640
TXN-000092,AC-00316,AC-00005,123439.31,2026-03-25T15:35:01.772640
TXN-000093,AC-00073,AC-00360,35633.2,2026-04-28T13:01:31.772640
TXN-000094,AC-00185,AC-00019,142474.14,2025-09-29T01:26:44.772640
TXN-000095,AC-00100,AC-00322,56611.68,2026-03-26T03:37:08.772640
TXN-000096,AC-00350,AC-00032,199613.42,2025-10-07T06:11:47.772640
TXN-000097,AC-00112,AC-00297,177365.78,2025-09-27T02:08:39.772640
TXN-000098,AC-00292,AC-00036,142158.1,2025-11-19T03:47:44.772640
TXN-000099,AC-00238,AC-00121,53982.24,2026-07-16T15:17:32.772640
TXN-000100,AC-00045,AC-00022,6085.18,2025-12-30T02:48:29.772640
TXN-000101,AC-00299,AC-00204,22670.72,2025-09-25T07:42:42.772640
TXN-000102,AC-00299,AC-00335,68195.05,2026-04-01T10:41:27.772640
TXN-000103,AC-00277,AC-00018,129702.26,2025-11-28T06:46:38.772640
TXN-000104,AC-00352,AC-00301,163359.52,2025-09-05T22:55:37.772640
TXN-000105,AC-00316,AC-00165,60553.42,2025-12-20T17:02:40.772640
TXN-000106,AC-00103,AC-00326,125811.38,2026-06-10T13:15:37.772640
TXN-000107,AC-00211,AC-00175,98001.9,2025-09-06T07:56:33.772640
TXN-000108,AC-00132,AC-00273,101238.45,2026-03-28T14:27:15.772640
TXN-000109,AC-00059,AC-00083,13406.47,2026-03-21T16:03:08.772640
TXN-000110,AC-00169,AC-00358,45010.17,2026-02-20T22:51:47.772640
TXN-000111,AC-00093,AC-00058,233699.3,2025-09-03T02:02:41.772640
TXN-000112,AC-00181,AC-00320,157577.41,2025-09-12T06:23:33.772640
TXN-000113,AC-00054,AC-00100,207605.59,2025-12-31T01:39:56.772640
TXN-000114,AC-00178,AC-00251,231709.31,2025-08-01T17:17:20.772640
TXN-000115,AC-00299,AC-00149,137330.21,2026-04-22T23:26:02.772640
TXN-000116,AC-00353,AC-00307,153211.67,2025-09-29T08:36:29.772640
TXN-000117,AC-00132,AC-00233,48957.49,2026-02-25T12:15:22.772640
TXN-000118,AC-00005,AC-00054,233697.29,2026-01-01T03:56:55.772640
TXN-000119,AC-00116,AC-00309,213673.14,2026-04-14T11:01:26.772640
TXN-000120,AC-00104,AC-00332,25819.29,2026-01-10T03:23:01.772640
TXN-000121,AC-00290,AC-00024,45553.23,2026-01-21T06:46:56.772640
TXN-000122,AC-00217,AC-00331,177751.15,2026-04-04T11:41:51.772640
TXN-000123,AC-00342,AC-00246,103288.94,2025-08-23T00:25:28.772640
TXN-000124,AC-00344,AC-00162,38729.45,2025-12-23T17:32:07.772640
TXN-000125,AC-00222,AC-00183,230412.88,2026-01-29T03:05:01.772640
TXN-000126,AC-00053,AC-00198,115354.88,2025-12-16T23:08:00.772640
TXN-000127,AC-00145,AC-00192,233520.35,2026-06-02T08:20:42.772640
TXN-000128,AC-00012,AC-00075,160356.31,2026-02-07T00:36:46.772640
TXN-000129,AC-00142,AC-00024,209086.22,2026-05-06T04:02:12.772640
TXN-000130,AC-00071,AC-00352,25825.05,2026-05-07T03:35:11.772640
TXN-000131,AC-00043,AC-00304,170074.24,2026-05-21T13:53:40.772640
TXN-000132,AC-00098,AC-00239,38042.12,2025-08-14T05:12:48.772640
TXN-000133,AC-00216,AC-00201,168655.79,2026-03-06T00:32:16.772640
TXN-000134,AC-00307,AC-00060,121949.99,2025-12-15T14:13:40.772640
TXN-000135,AC-00200,AC-00175,236234.99,2025-09-26T06:46:38.772640
TXN-000136,AC-00328,AC-00050,52238.09,2026-04-20T15:35:49.772640
TXN-000137,AC-00177,AC-00350,247129.11,2026-04-23T10:36:53.772640
TXN-000138,AC-00082,AC-00135,142230.35,2025-10-15T19:41:15.772640
TXN-000139,AC-00153,AC-00105,230240.3,2026-05-27T18:59:22.772640
TXN-000140,AC-00219,AC-00331,163866.07,2026-02-22T05:27:40.772640
TXN-000141,AC-00011,AC-00020,191260.78,2025-12-30T00:12:53.772640
TXN-000142,AC-00177,AC-00276,19580.39,2025-12-21T10:34:12.772640
TXN-000143,AC-00260,AC-00129,57955.15,2026-05-20T20:13:24.772640
TXN-000144,AC-00287,AC-00335,29739.97,2026-04-19T10:57:40.772640
TXN-000145,AC-00317,AC-00033,126238.15,2026-04-16T20:28:41.772640
TXN-000146,AC-00272,AC-00326,73925.92,2025-09-20T10:02:25.772640
TXN-000147,AC-00224,AC-00249,172729.86,2025-12-11T18:47:03.772640
TXN-000148,AC-00345,AC-00285,11451.93,2025-08-09T06:51:52.772640
TXN-000149,AC-00200,AC-00212,42045.05,2025-09-25T19:17:48.772640
TXN-000150,AC-00254,AC-00044,39195.06,2026-04-20T17:24:54.772640
TXN-000151,AC-00006,AC-00085,12655.15,2026-07-14T02:20:38.772640
TXN-000152,AC-00251,AC-00156,176139.72,2025-10-29T18:39:47.772640
TXN-000153,AC-00046,AC-00029,108581.22,2025-12-06T11:56:08.772640
TXN-000154,AC-00017,AC-00061,111054.29,2026-05-25T01:28:36.772640
TXN-000155,AC-00205,AC-00137,68400.53,2025-12-17T08:22:03.772640
TXN-000156,AC-00061,AC-00049,45103.19,2026-04-28T15:21:09.772640
TXN-000157,AC-00173,AC-00037,54080.75,2026-01-16T17:39:03.772640
TXN-000158,AC-00265,AC-00331,21644.33,2025-11-11T15:58:08.772640
TXN-000159,AC-00252,AC-00192,164647.4,2025-08-07T07:11:21.772640
TXN-000160,AC-00074,AC-00248,56351.57,2026-02-23T06:28:24.772640
TXN-000161,AC-00054,AC-00063,143853.38,2025-12-24T19:34:07.772640
TXN-000162,AC-00075,AC-00128,91606.57,2026-07-25T02:47:39.772640
TXN-000163,AC-00309,AC-00100,43130.83,2026-03-02T12:12:31.772640
TXN-000164,AC-00088,AC-00029,14485.03,2026-03-09T05:58:58.772640
TXN-000165,AC-00116,AC-00083,69518.45,2026-06-21T00:52:12.772640
TXN-000166,AC-00015,AC-00232,171427.94,2025-09-28T18:01:58.772640
TXN-000167,AC-00341,AC-00056,25996.01,2025-09-16T07:56:16.772640
TXN-000168,AC-00232,AC-00282,242085.53,2026-05-13T12:35:37.772640
TXN-000169,AC-00165,AC-00150,43882.19,2026-04-03T10:29:05.772640
TXN-000170,AC-00001,AC-00090,147473.37,2025-08-04T04:44:42.772640
TXN-000171,AC-00154,AC-00167,113659.43,2025-12-06T13:18:24.772640
TXN-000172,AC-00358,AC-00218,218842.96,2025-10-11T05:51:16.772640
TXN-000173,AC-00291,AC-00011,240303.44,2026-05-19T07:42:16.772640
TXN-000174,AC-00124,AC-00116,168366.96,2025-09-08T16:09:51.772640
TXN-000175,AC-00286,AC-00075,114557.38,2025-08-06T14:57:39.772640
TXN-000176,AC-00268,AC-00189,200154.56,2025-09-28T14:47:43.772640
TXN-000177,AC-00171,AC-00128,185881.03,2025-09-16T18:37:09.772640
TXN-000178,AC-00201,AC-00329,206529.11,2025-09-03T07:39:40.772640
TXN-000179,AC-00154,AC-00062,189556.95,2026-07-15T05:16:22.772640
TXN-000180,AC-00085,AC-00235,48223.47,2025-09-06T17:11:36.772640
TXN-000181,AC-00290,AC-00233,65248.76,2026-04-09T18:20:24.772640
TXN-000182,AC-00174,AC-00017,29908.04,2025-09-27T20:37:16.772640
TXN-000183,AC-00149,AC-00185,27097.02,2025-10-26T14:58:55.772640
TXN-000184,AC-00189,AC-00291,74676.31,2026-01-26T16:45:34.772640
TXN-000185,AC-00242,AC-00285,109162.42,2026-03-31T14:37:59.772640
TXN-000186,AC-00353,AC-00327,238668.18,2026-01-03T23:27:09.772640
TXN-000187,AC-00102,AC-00314,53746.69,2025-09-05T14:57:08.772640
TXN-000188,AC-00206,AC-00037,91906.56,2025-11-15T11:32:51.772640
TXN-000189,AC-00029,AC-00308,78669.59,2025-10-01T10:22:38.772640
TXN-000190,AC-00002,AC-00270,58254.48,2026-07-24T05:31:05.772640
TXN-000191,AC-00179,AC-00039,140942.31,2025-09-22T00:24:50.772640
TXN-000192,AC-00334,AC-00319,212349.31,2025-11-28T09:38:40.772640
TXN-000193,AC-00328,AC-00242,151874.97,2025-08-13T19:22:39.772640
TXN-000194,AC-00089,AC-00221,94833.4,2025-10-15T22:43:02.772640
TXN-000195,AC-00330,AC-00095,68582.47,2026-01-14T18:05:21.772640
TXN-000196,AC-00071,AC-00166,79105.14,2026-03-02T02:35:58.772640
TXN-000197,AC-00296,AC-00214,224550.4,2025-10-28T10:38:35.772640
TXN-000198,AC-00014,AC-00080,144472.96,2026-03-09T05:09:55.772640
TXN-000199,AC-00111,AC-00349,166537.32,2026-07-12T23:03:11.772640
TXN-000200,AC-00174,AC-00169,211225.67,2026-01-29T01:42:14.772640
TXN-000201,AC-00323,AC-00271,167744.17,2026-07-06T15:02:10.772640
TXN-000202,AC-00135,AC-00232,226043.47,2026-01-02T18:22:12.772640
TXN-000203,AC-00071,AC-00269,138905.88,2025-12-28T13:27:05.772640
TXN-000204,AC-00351,AC-00280,65194.49,2026-07-02T15:00:40.772640
TXN-000205,AC-00082,AC-00141,202034.04,2026-01-28T15:30:42.772640
TXN-000206,AC-00217,AC-00047,17307.36,2026-07-18T13:26:26.772640
TXN-000207,AC-00116,AC-00135,128011.72,2025-10-20T14:50:42.772640
TXN-000208,AC-00122,AC-00191,102107.16,2025-08-05T22:47:30.772640
TXN-000209,AC-00291,AC-00246,164160.21,2026-04-14T20:23:12.772640
TXN-000210,AC-00152,AC-00345,106274.51,2025-11-01T22:21:25.772640
TXN-000211,AC-00287,AC-00343,114668.69,2026-05-21T02:57:20.772640
TXN-000212,AC-00230,AC-00142,2402.37,2026-03-19T02:05:00.772640
TXN-000213,AC-00344,AC-00167,79203.02,2026-06-23T23:42:06.772640
TXN-000214,AC-00314,AC-00279,112682.28,2025-07-29T04:14:19.772640
TXN-000215,AC-00251,AC-00318,176394.12,2026-01-06T16:16:59.772640
TXN-000216,AC-00105,AC-00093,109844.89,2025-08-20T17:54:51.772640
TXN-000217,AC-00002,AC-00302,27514.26,2025-09-09T07:38:29.772640
TXN-000218,AC-00243,AC-00332,136812.31,2026-07-11T21:40:47.772640
TXN-000219,AC-00344,AC-00148,208497.11,2026-03-17T23:58:38.772640
TXN-000220,AC-00355,AC-00202,182781.87,2025-11-24T08:17:26.772640
TXN-000221,AC-00167,AC-00268,128520.77,2026-04-10T00:36:37.772640
TXN-000222,AC-00155,AC-00310,19144.05,2025-09-19T17:59:12.772640
TXN-000223,AC-00160,AC-00254,134917.97,2025-12-18T14:53:06.772640
TXN-000224,AC-00228,AC-00031,231314.75,2026-06-04T10:06:55.772640
TXN-000225,AC-00129,AC-00015,192368.93,2026-03-07T07:59:39.772640
TXN-000226,AC-00342,AC-00082,69225.51,2025-12-27T17:11:58.772640
TXN-000227,AC-00108,AC-00204,163262.64,2026-03-23T07:54:25.772640
TXN-000228,AC-00066,AC-00191,199204.91,2026-06-02T09:27:17.772640
TXN-000229,AC-00161,AC-00169,189708.61,2026-07-02T05:39:03.772640
TXN-000230,AC-00180,AC-00033,29794.6,2026-01-02T17:27:47.772640
TXN-000231,AC-00298,AC-00165,70982.15,2026-07-05T16:50:51.772640
TXN-000232,AC-00046,AC-00232,176182.37,2026-03-19T14:27:34.772640
TXN-000233,AC-00186,AC-00291,206455.26,2026-02-14T03:57:18.772640
TXN-000234,AC-00311,AC-00288,64111.47,2025-10-27T17:25:36.772640
TXN-000235,AC-00099,AC-00246,43097.03,2025-08-12T23:23:28.772640
TXN-000236,AC-00036,AC-00023,42599.5,2025-12-09T22:25:50.772640
TXN-000237,AC-00122,AC-00187,103710.21,2026-03-21T20:33:28.772640
TXN-000238,AC-00125,AC-00104,12446.32,2025-08-18T18:05:15.772640
TXN-000239,AC-00118,AC-00226,29899.73,2025-11-05T18:37:24.772640
TXN-000240,AC-00090,AC-00246,249547.73,2026-07-04T06:31:32.772640
TXN-000241,AC-00129,AC-00247,137752.94,2026-01-21T09:37:30.772640
TXN-000242,AC-00317,AC-00201,46935.79,2025-07-31T11:16:55.772640
TXN-000243,AC-00026,AC-00039,140261.76,2025-12-12T01:30:43.772640
TXN-000244,AC-00096,AC-00324,202638.46,2026-02-12T01:15:19.772640
TXN-000245,AC-00027,AC-00151,239428.16,2026-01-15T23:45:09.772640
TXN-000246,AC-00296,AC-00347,32417.55,2025-10-08T22:48:02.772640
TXN-000247,AC-00356,AC-00009,33304.49,2026-06-22T09:27:05.772640
TXN-000248,AC-00144,AC-00080,159054.64,2026-01-08T11:46:15.772640
TXN-000249,AC-00359,AC-00106,99013.78,2026-07-19T09:38:39.772640
TXN-000250,AC-00093,AC-00204,228757.46,2025-08-23T12:01:44.772640
TXN-000251,AC-00265,AC-00143,109373.55,2026-01-21T11:29:53.772640
TXN-000252,AC-00006,AC-00196,200036.82,2026-03-15T00:37:56.772640
TXN-000253,AC-00123,AC-00255,172913.32,2025-09-04T12:01:18.772640
TXN-000254,AC-00342,AC-00087,137083.64,2025-09-04T15:24:17.772640
TXN-000255,AC-00163,AC-00105,70035.43,2026-02-21T10:01:19.772640
TXN-000256,AC-00090,AC-00226,30868.46,2025-10-20T07:47:31.772640
TXN-000257,AC-00213,AC-00100,244914.92,2026-03-01T19:18:34.772640
TXN-000258,AC-00049,AC-00170,129687.54,2025-09-13T05:09:58.772640
TXN-000259,AC-00004,AC-00143,245895.07,2026-03-12T08:25:41.772640
TXN-000260,AC-00347,AC-00221,118503.08,2025-10-18T11:59:56.772640
TXN-000261,AC-00022,AC-00342,124542.58,2025-09-30T02:54:12.772640
TXN-000262,AC-00025,AC-00015,44082.09,2026-03-29T06:33:37.772640
TXN-000263,AC-00003,AC-00015,249438.67,2026-04-09T06:21:05.772640
TXN-000264,AC-00175,AC-00282,146189.76,2025-08-07T11:26:07.772640
TXN-000265,AC-00272,AC-00088,185861.85,2025-12-24T17:15:19.772640
TXN-000266,AC-00220,AC-00209,78680.37,2026-05-14T20:58:17.772640
TXN-000267,AC-00285,AC-00019,71535.96,2026-06-27T02:18:12.772640
TXN-000268,AC-00075,AC-00279,3609.8,2025-12-12T18:32:00.772640
TXN-000269,AC-00273,AC-00278,92523.89,2026-05-07T15:30:48.772640
TXN-000270,AC-00116,AC-00223,223856.26,2026-01-25T22:55:25.772640
TXN-000271,AC-00037,AC-00234,79949.76,2025-12-25T01:13:36.772640
TXN-000272,AC-00140,AC-00244,129567.88,2025-10-23T06:58:43.772640
TXN-000273,AC-00187,AC-00091,26916.07,2026-04-07T06:54:06.772640
TXN-000274,AC-00152,AC-00326,211254.67,2025-08-21T16:55:08.772640
TXN-000275,AC-00270,AC-00329,198541.54,2025-08-07T21:25:50.772640
TXN-000276,AC-00133,AC-00355,115924.14,2026-05-30T09:14:37.772640
TXN-000277,AC-00264,AC-00277,6580.74,2025-10-23T18:08:22.772640
TXN-000278,AC-00120,AC-00353,8885.6,2025-09-04T21:28:05.772640
TXN-000279,AC-00041,AC-00086,65558.94,2026-01-22T12:45:20.772640
TXN-000280,AC-00018,AC-00339,72778.45,2025-11-25T20:00:26.772640
TXN-000281,AC-00344,AC-00309,131890.49,2026-06-05T15:29:56.772640
TXN-000282,AC-00324,AC-00202,10312.26,2026-01-20T10:28:03.772640
TXN-000283,AC-00096,AC-00044,63785.05,2025-12-18T07:32:45.772640
TXN-000284,AC-00201,AC-00151,191984.63,2026-06-25T00:15:11.772640
TXN-000285,AC-00245,AC-00311,243526.78,2026-05-18T20:55:51.772640
TXN-000286,AC-00205,AC-00055,79606.43,2026-02-23T10:12:18.772640
TXN-000287,AC-00324,AC-00150,126406.1,2025-10-28T16:14:37.772640
TXN-000288,AC-00224,AC-00210,32445.15,2026-07-26T04:03:53.772640
TXN-000289,AC-00026,AC-00088,193002.52,2026-05-19T06:08:02.772640
TXN-000290,AC-00144,AC-00166,136724.83,2025-08-29T12:17:11.772640
TXN-000291,AC-00043,AC-00259,204082.27,2025-12-06T06:27:03.772640
TXN-000292,AC-00264,AC-00035,45024.55,2026-04-06T12:58:12.772640
TXN-000293,AC-00126,AC-00288,233290.64,2026-04-19T14:46:12.772640
TXN-000294,AC-00045,AC-00054,27106.27,2025-11-08T18:01:52.772640
TXN-000295,AC-00022,AC-00308,86601.53,2026-04-20T18:22:32.772640
TXN-000296,AC-00272,AC-00082,145343.11,2026-05-02T05:12:56.772640
TXN-000297,AC-00137,AC-00347,173087.64,2025-08-30T07:05:49.772640
TXN-000298,AC-00360,AC-00318,117463.41,2026-03-18T09:36:02.772640
TXN-000299,AC-00163,AC-00356,213473.84,2025-10-26T02:16:43.772640
TXN-000300,AC-00337,AC-00134,248366.98,2026-02-15T07:24:03.772640
TXN-000301,AC-00233,AC-00356,22856.74,2025-09-17T21:53:21.772640
TXN-000302,AC-00179,AC-00024,47889.07,2026-05-18T07:29:28.772640
TXN-000303,AC-00327,AC-00222,125992.98,2026-04-25T04:49:17.772640
TXN-000304,AC-00014,AC-00064,102602.22,2025-08-22T22:40:37.772640
TXN-000305,AC-00076,AC-00039,228224.97,2026-02-21T15:15:42.772640
TXN-000306,AC-00233,AC-00131,218329.21,2025-08-09T19:57:01.772640
TXN-000307,AC-00132,AC-00292,181311.33,2025-09-24T16:36:33.772640
TXN-000308,AC-00021,AC-00232,196901.11,2025-10-31T02:02:01.772640
TXN-000309,AC-00338,AC-00324,98532.82,2025-12-17T10:48:42.772640
TXN-000310,AC-00066,AC-00020,171686.14,2025-09-15T16:33:54.772640
TXN-000311,AC-00065,AC-00300,144306.15,2025-11-01T13:59:10.772640
TXN-000312,AC-00190,AC-00050,158252.89,2025-10-09T21:55:00.772640
TXN-000313,AC-00307,AC-00278,145162.87,2026-06-06T08:21:26.772640
TXN-000314,AC-00341,AC-00327,131685.75,2026-04-09T12:58:07.772640
TXN-000315,AC-00159,AC-00247,157145.72,2026-07-04T05:27:15.772640
TXN-000316,AC-00347,AC-00342,176885.78,2025-08-12T01:45:45.772640
TXN-000317,AC-00034,AC-00254,200040.78,2025-10-28T04:05:30.772640
TXN-000318,AC-00342,AC-00094,89423.57,2025-08-29T02:47:14.772640
TXN-000319,AC-00016,AC-00054,185785.37,2025-10-14T08:19:15.772640
TXN-000320,AC-00303,AC-00131,205024.31,2026-07-07T13:54:47.772640
TXN-000321,AC-00242,AC-00208,152594.45,2025-12-05T02:15:10.772640
TXN-000322,AC-00143,AC-00180,100497.44,2026-01-21T17:09:10.772640
TXN-000323,AC-00035,AC-00360,11345.11,2026-03-26T21:43:59.772640
TXN-000324,AC-00162,AC-00082,108527.1,2025-08-07T16:13:34.772640
TXN-000325,AC-00062,AC-00007,196068.26,2026-07-22T22:07:57.772640
TXN-000326,AC-00215,AC-00302,105574.97,2026-06-10T01:59:11.772640
TXN-000327,AC-00100,AC-00282,110786.15,2026-06-08T10:21:55.772640
TXN-000328,AC-00125,AC-00347,180642.35,2026-07-10T02:20:42.772640
TXN-000329,AC-00147,AC-00116,196109.63,2025-11-29T09:22:35.772640
TXN-000330,AC-00040,AC-00357,198328.81,2025-08-31T18:54:48.772640
TXN-000331,AC-00011,AC-00065,239964.76,2026-05-13T15:12:43.772640
TXN-000332,AC-00160,AC-00225,172091.49,2026-01-20T13:23:07.772640
TXN-000333,AC-00144,AC-00241,34343.98,2026-05-03T00:27:06.772640
TXN-000334,AC-00293,AC-00026,41217.69,2026-06-01T06:42:58.772640
TXN-000335,AC-00266,AC-00278,236108.83,2026-06-14T06:14:41.772640
TXN-000336,AC-00333,AC-00111,239410.47,2026-03-03T18:44:58.772640
TXN-000337,AC-00111,AC-00229,141422.99,2025-09-16T15:41:01.772640
TXN-000338,AC-00308,AC-00279,139644.97,2025-09-09T17:17:56.772640
TXN-000339,AC-00202,AC-00128,216319.84,2025-09-29T07:57:49.772640
TXN-000340,AC-00335,AC-00052,12980.16,2026-06-24T06:47:43.772640
TXN-000341,AC-00045,AC-00143,11692.15,2025-11-05T15:35:43.772640
TXN-000342,AC-00305,AC-00110,5992.48,2026-07-06T12:39:37.772640
TXN-000343,AC-00292,AC-00352,136473.38,2025-11-09T09:14:34.772640
TXN-000344,AC-00248,AC-00067,20855.67,2026-04-11T04:55:36.772640
TXN-000345,AC-00260,AC-00147,60533.19,2025-12-24T09:32:32.772640
TXN-000346,AC-00204,AC-00090,196098.36,2026-01-17T23:04:33.772640
TXN-000347,AC-00047,AC-00131,247467.1,2026-05-23T16:57:57.772640
TXN-000348,AC-00180,AC-00155,248138.83,2026-07-12T07:19:16.772640
