fir_id,crime_type,severity,ward,lat,lng,timestamp,hour,weekday,is_night,is_weekend,is_festival_day,weather,population_density,weapon,suspect_id,station_id,status
FIR-000026,Assault,2,West Sector,26.889802,75.765883,2026-07-18T21:20:58.257791,21,5,1,1,0,Clear,9100,Firearm,P-00433,PS-001,Closed
FIR-000027,Assault,3,Riverside,26.87923,75.815354,2026-06-09T07:53:58.257791,7,1,0,0,0,Fog,5200,Firearm,P-00119,PS-004,Under Investigation
FIR-000028,Theft,3,Old City,26.920261,75.801143,2026-02-11T09:55:58.257791,9,2,0,0,0,Clear,16200,None,,PS-003,Under Investigation
FIR-000029,Fraud,2,Old City,26.926101,75.80754,2025-12-29T05:55:58.257791,5,0,0,0,0,Fog,16200,None,P-00509,PS-005,Under Investigation
FIR-000030,Assault,2,West Sector,26.883709,75.780589,2026-05-20T05:28:58.257791,5,2,0,0,0,Cloudy,9100,None,P-00478,PS-008,Cold
FIR-000031,Extortion,3,South Division,26.875476,75.787218,2025-11-22T17:41:58.257791,17,5,0,1,0,Clear,6400,None,,PS-001,Closed
FIR-000032,Vehicle Theft,1,North District,26.930165,75.815708,2025-09-02T08:39:58.257791,8,1,0,0,0,Clear,8200,None,,PS-007,Under Investigation
FIR-000033,Assault,4,East Ward,26.898412,75.835812,2026-05-07T00:03:58.257791,0,3,1,0,0,Clear,10800,Knife,P-00399,PS-002,Closed
FIR-000034,Theft,1,East Ward,26.901629,75.827793,2026-07-03T21:04:58.257791,21,4,1,0,0,Clear,10800,None,P-00065,PS-006,Under Investigation
FIR-000035,Theft,2,Old City,26.91502,75.801556,2026-06-20T10:22:58.257791,10,5,0,1,0,Clear,16200,None,,PS-003,Chargesheet Filed
FIR-000036,Theft,3,South Division,26.865157,75.78083,2026-06-12T06:46:58.257791,6,4,0,0,0,Clear,6400,None,P-00445,PS-006,Under Investigation
FIR-000037,Theft,1,Riverside,26.891235,75.799795,2025-12-22T02:15:58.257791,2,0,1,0,0,Rain,5200,None,,PS-005,Under Investigation
FIR-000038,Extortion,4,North District,26.923678,75.808775,2026-07-18T21:28:58.257791,21,5,1,1,0,Cloudy,8200,Firearm,P-00151,PS-001,Under Investigation
FIR-000039,Burglary,2,East Ward,26.912336,75.831533,2026-01-11T15:49:58.257791,15,6,0,1,0,Fog,10800,None,,PS-001,Under Investigation
FIR-000040,Theft,3,North District,26.919491,75.811107,2026-02-25T13:38:58.257791,13,2,0,0,0,Cloudy,8200,None,,PS-002,Under Investigation
FIR-000041,Fraud,1,South Division,26.858515,75.779329,2026-06-24T05:18:58.257791,5,2,0,0,0,Cloudy,6400,None,,PS-004,Closed
FIR-000042,Robbery,4,Riverside,26.886376,75.814691,2026-07-11T15:38:58.257791,15,5,0,1,0,Clear,5200,Improvised,P-00310,PS-003,Under Investigation
FIR-000043,Assault,2,North District,26.913716,75.810208,2026-06-07T05:13:58.257791,5,6,0,1,0,Clear,8200,Improvised,P-00301,PS-001,Cold
FIR-000044,Assault,4,North District,26.909049,75.816392,2025-11-30T18:55:58.257791,18,6,0,1,0,Clear,8200,Knife,,PS-005,Under Investigation
FIR-000045,Burglary,4,West Sector,26.887941,75.779926,2026-06-27T21:33:58.257791,21,5,1,1,0,Clear,9100,None,,PS-004,Under Investigation
FIR-000046,Burglary,3,West Sector,26.890653,75.775994,2026-01-30T11:09:58.257791,11,4,0,0,0,Fog,9100,None,P-00247,PS-007,Chargesheet Filed
FIR-000047,Narcotics,4,East Ward,26.898533,75.835806,2025-12-16T20:04:58.257791,20,1,1,0,0,Fog,10800,None,P-00275,PS-003,Under Investigation
FIR-000048,Theft,2,Central Zone,26.908072,75.794487,2026-03-09T14:39:58.257791,14,0,0,0,0,Cloudy,14500,None,,PS-005,Chargesheet Filed
FIR-000049,Narcotics,3,North District,26.918656,75.813387,2025-12-16T13:15:58.257791,13,1,0,0,0,Cloudy,8200,None,P-00475,PS-007,Closed
FIR-000050,Theft,3,Old City,26.921107,75.801069,2025-08-12T11:39:58.257791,11,1,0,0,0,Clear,16200,None,,PS-005,Chargesheet Filed
FIR-000051,Burglary,3,East Ward,26.911783,75.840286,2025-08-10T04:37:58.257791,4,6,1,1,0,Rain,10800,None,,PS-002,Closed
FIR-000052,Robbery,4,Industrial Belt,26.861742,75.771639,2026-07-09T03:45:58.257791,3,3,1,0,0,Heatwave,3100,Blunt Object,P-00120,PS-008,Chargesheet Filed
FIR-000053,Cybercrime,1,Industrial Belt,26.871971,75.776512,2025-10-01T18:08:58.257791,18,2,0,0,0,Rain,3100,None,P-00429,PS-007,Under Investigation
FIR-000054,Extortion,5,Central Zone,26.888296,75.795365,2025-12-11T15:07:58.257791,15,3,0,0,0,Rain,14500,Firearm,,PS-003,Under Investigation
FIR-000055,Vehicle Theft,3,North District,26.913228,75.809406,2025-07-31T07:53:58.257791,7,3,0,0,0,Heatwave,8200,None,,PS-005,Chargesheet Filed
FIR-000056,Fraud,2,East Ward,26.913857,75.821053,2025-08-28T08:02:58.257791,8,3,0,0,0,Clear,10800,None,,PS-003,Chargesheet Filed
FIR-000057,Robbery,4,East Ward,26.906917,75.819007,2025-11-22T21:32:58.257791,21,5,1,1,0,Clear,10800,None,,PS-005,Cold
FIR-000058,Theft,1,North District,26.909859,75.818652,2026-01-23T11:36:58.257791,11,4,0,0,0,Clear,8200,None,P-00172,PS-004,Under Investigation
FIR-000059,Narcotics,2,West Sector,26.883593,75.777567,2026-07-10T06:55:58.257791,6,4,0,0,0,Cloudy,9100,None,P-00297,PS-006,Closed
FIR-000060,Burglary,2,Industrial Belt,26.869885,75.758613,2026-06-09T18:01:58.257791,18,1,0,0,0,Clear,3100,None,,PS-006,Closed
FIR-000061,Theft,3,Old City,26.903782,75.81043,2026-04-13T12:36:58.257791,12,0,0,0,0,Clear,16200,None,P-00471,PS-002,Cold
FIR-000062,Fraud,3,Industrial Belt,26.858034,75.775593,2025-11-18T12:23:58.257791,12,1,0,0,0,Heatwave,3100,None,,PS-001,Closed
FIR-000063,Narcotics,3,Old City,26.924866,75.800888,2026-04-19T08:11:58.257791,8,6,0,1,0,Clear,16200,None,,PS-006,Under Investigation
FIR-000064,Cybercrime,2,West Sector,26.891685,75.771448,2025-09-24T16:06:58.257791,16,2,0,0,0,Clear,9100,None,P-00265,PS-008,Closed
FIR-000065,Kidnapping,4,South Division,26.876635,75.787783,2026-02-26T01:27:58.257791,1,3,1,0,0,Rain,6400,Knife,,PS-005,Chargesheet Filed
FIR-000066,Kidnapping,5,West Sector,26.898183,75.781543,2025-09-24T20:17:58.257791,20,2,1,0,0,Clear,9100,Blunt Object,,PS-001,Under Investigation
FIR-000067,Theft,1,South Division,26.878013,75.778574,2026-05-06T16:50:58.257791,16,2,0,0,0,Cloudy,6400,None,P-00065,PS-003,Closed
FIR-000068,Fraud,1,East Ward,26.910088,75.820857,2026-02-10T07:13:58.257791,7,1,0,0,0,Clear,10800,None,,PS-006,Closed
FIR-000069,Cybercrime,2,East Ward,26.90814,75.835777,2025-08-18T20:38:58.257791,20,0,1,0,0,Fog,10800,None,P-00555,PS-008,Chargesheet Filed
FIR-000070,Theft,3,Old City,26.911877,75.808586,2026-05-24T09:56:58.257791,9,6,0,1,0,Clear,16200,None,P-00321,PS-003,Closed
FIR-000071,Theft,3,East Ward,26.914535,75.831916,2025-09-14T01:10:58.257791,1,6,1,1,0,Cloudy,10800,None,,PS-007,Under Investigation
FIR-000072,Fraud,3,West Sector,26.888056,75.775459,2025-10-25T21:53:58.257791,21,5,1,1,0,Rain,9100,None,,PS-006,Under Investigation
FIR-000073,Burglary,2,Central Zone,26.894923,75.810025,2025-09-25T03:08:58.257791,3,3,1,0,0,Cloudy,14500,None,,PS-002,Cold
FIR-000074,Assault,3,Old City,26.903656,75.814661,2025-10-06T21:04:58.257791,21,0,1,0,0,Cloudy,16200,Improvised,,PS-004,Under Investigation
FIR-000075,Cybercrime,2,Riverside,26.88557,75.810501,2025-08-09T05:04:58.257791,5,5,0,1,0,Clear,5200,None,,PS-005,Cold
FIR-000076,Theft,1,Old City,26.926834,75.810559,2025-09-26T08:47:58.257791,8,4,0,0,0,Clear,16200,None,P-00258,PS-002,Chargesheet Filed
FIR-000077,Burglary,4,Central Zone,26.905653,75.80413,2025-09-03T04:01:58.257791,4,2,1,0,0,Cloudy,14500,None,P-00491,PS-006,Chargesheet Filed
FIR-000078,Theft,3,North District,26.923867,75.829062,2025-09-16T16:41:58.257791,16,1,0,0,0,Cloudy,8200,None,P-00463,PS-001,Under Investigation
FIR-000079,Theft,1,East Ward,26.910605,75.824782,2025-11-16T15:03:58.257791,15,6,0,1,0,Clear,10800,None,P-00081,PS-004,Under Investigation
FIR-000080,Theft,3,North District,26.914314,75.817127,2026-05-08T13:04:58.257791,13,4,0,0,0,Rain,8200,None,,PS-006,Closed
FIR-000081,Burglary,3,East Ward,26.904765,75.833121,2025-10-27T03:44:58.257791,3,0,1,0,0,Clear,10800,None,,PS-008,Under Investigation
FIR-000082,Fraud,1,Central Zone,26.892229,75.810952,2025-12-21T07:19:58.257791,7,6,0,1,0,Clear,14500,None,,PS-006,Closed
FIR-000083,Theft,2,Old City,26.90943,75.798163,2026-03-31T09:29:58.257791,9,1,0,0,0,Clear,16200,None,,PS-007,Under Investigation
FIR-000084,Fraud,2,Old City,26.912568,75.814897,2025-12-07T15:11:58.257791,15,6,0,1,0,Clear,16200,None,P-00531,PS-004,Under Investigation
FIR-000085,Extortion,5,Riverside,26.872949,75.813007,2025-12-31T08:17:58.257791,8,2,0,0,0,Clear,5200,Improvised,,PS-006,Under Investigation
FIR-000086,Burglary,3,East Ward,26.911404,75.831269,2025-08-06T05:56:58.257791,5,2,0,0,0,Rain,10800,None,,PS-004,Under Investigation
FIR-000087,Burglary,2,Central Zone,26.909856,75.795956,2025-10-15T11:16:58.257791,11,2,0,0,1,Fog,14500,None,P-00538,PS-004,Cold
FIR-000088,Fraud,1,North District,26.911767,75.815235,2025-08-06T09:57:58.257791,9,2,0,0,0,Cloudy,8200,None,P-00561,PS-004,Under Investigation
FIR-000089,Fraud,2,Old City,26.923688,75.794837,2026-02-05T14:16:58.257791,14,3,0,0,0,Clear,16200,None,P-00504,PS-007,Under Investigation
FIR-000090,Fraud,2,Old City,26.907663,75.807537,2026-04-30T13:49:58.257791,13,3,0,0,0,Clear,16200,None,P-00238,PS-007,Closed
FIR-000091,Cybercrime,3,North District,26.919314,75.81499,2025-12-14T08:03:58.257791,8,6,0,1,0,Clear,8200,None,P-00297,PS-005,Closed
FIR-000092,Kidnapping,5,Industrial Belt,26.870835,75.776305,2026-04-26T10:06:58.257791,10,6,0,1,0,Clear,3100,Blunt Object,,PS-004,Closed
FIR-000093,Theft,2,North District,26.915978,75.827432,2025-11-22T08:14:58.257791,8,5,0,1,0,Cloudy,8200,None,,PS-002,Closed
FIR-000094,Robbery,4,Central Zone,26.900562,75.808152,2026-04-03T12:06:58.257791,12,4,0,0,0,Clear,14500,None,,PS-008,Under Investigation
FIR-000095,Robbery,4,West Sector,26.903914,75.769435,2026-01-14T21:53:58.257791,21,2,1,0,0,Clear,9100,Blunt Object,P-00419,PS-008,Under Investigation
FIR-000096,Robbery,5,East Ward,26.916826,75.819954,2026-01-07T08:36:58.257791,8,2,0,0,0,Cloudy,10800,None,P-00501,PS-007,Under Investigation
FIR-000097,Assault,2,North District,26.908937,75.81818,2026-04-19T16:58:58.257791,16,6,0,1,0,Clear,8200,Improvised,P-00580,PS-008,Under Investigation
FIR-000098,Assault,4,Riverside,26.885279,75.819125,2026-02-26T05:51:58.257791,5,3,0,0,0,Clear,5200,Improvised,P-00238,PS-006,Closed
FIR-000099,Fraud,3,Central Zone,26.89691,75.802508,2025-12-22T10:34:58.257791,10,0,0,0,0,Clear,14500,None,P-00155,PS-006,Cold
FIR-000100,Assault,4,Old City,26.912991,75.796608,2025-10-03T23:24:58.257791,23,4,1,0,0,Rain,16200,Firearm,P-00005,PS-004,Under Investigation
FIR-000101,Assault,3,North District,26.909603,75.823272,2026-03-18T03:57:58.257791,3,2,1,0,0,Clear,8200,Firearm,,PS-001,Cold
FIR-000102,Fraud,2,Central Zone,26.910423,75.801467,2026-03-02T12:37:58.257791,12,0,0,0,0,Clear,14500,None,,PS-004,Under Investigation
FIR-000103,Theft,3,Central Zone,26.902096,75.806385,2025-11-14T02:02:58.257791,2,4,1,0,0,Clear,14500,None,P-00561,PS-005,Cold
FIR-000104,Theft,1,Old City,26.926738,75.795192,2026-06-07T15:49:58.257791,15,6,0,1,0,Cloudy,16200,None,,PS-003,Under Investigation
FIR-000105,Theft,3,South Division,26.877374,75.78821,2025-07-27T03:55:58.257791,3,6,1,1,0,Fog,6400,None,P-00227,PS-002,Under Investigation
FIR-000106,Narcotics,3,West Sector,26.895736,75.784199,2026-02-09T16:21:58.257791,16,0,0,0,0,Clear,9100,None,,PS-003,Cold
FIR-000107,Assault,4,Riverside,26.884449,75.81139,2026-07-25T22:44:58.257791,22,5,1,1,0,Clear,5200,Knife,P-00256,PS-001,Chargesheet Filed
FIR-000108,Vehicle Theft,1,Riverside,26.877179,75.802296,2026-07-05T05:37:58.257791,5,6,0,1,0,Clear,5200,None,,PS-001,Under Investigation
FIR-000109,Theft,2,West Sector,26.904979,75.775067,2025-11-02T18:28:58.257791,18,6,0,1,0,Clear,9100,None,P-00202,PS-001,Closed
FIR-000110,Burglary,2,East Ward,26.916307,75.83776,2026-02-14T19:35:58.257791,19,5,0,1,0,Rain,10800,None,,PS-008,Cold
FIR-000111,Vehicle Theft,3,East Ward,26.912378,75.818917,2026-04-03T23:21:58.257791,23,4,1,0,0,Rain,10800,None,P-00517,PS-003,Chargesheet Filed
FIR-000112,Burglary,3,Central Zone,26.903299,75.789496,2025-10-01T20:17:58.257791,20,2,1,0,0,Rain,14500,None,P-00405,PS-005,Cold
FIR-000113,Fraud,2,Central Zone,26.909546,75.792061,2026-06-06T16:52:58.257791,16,5,0,1,0,Clear,14500,None,,PS-006,Closed
FIR-000114,Theft,1,Industrial Belt,26.867801,75.770037,2026-02-18T07:44:58.257791,7,2,0,0,0,Cloudy,3100,None,,PS-002,Under Investigation
FIR-000115,Theft,3,North District,26.928211,75.830586,2026-06-03T00:35:58.257791,0,2,1,0,0,Cloudy,8200,None,P-00419,PS-006,Under Investigation
FIR-000116,Theft,1,South Division,26.86238,75.780074,2026-07-17T20:27:58.257791,20,4,1,0,0,Fog,6400,None,P-00461,PS-001,Chargesheet Filed
FIR-000117,Fraud,1,Old City,26.910387,75.809341,2025-11-15T14:14:58.257791,14,5,0,1,1,Cloudy,16200,None,,PS-004,Chargesheet Filed
FIR-000118,Theft,1,Old City,26.916561,75.802936,2025-12-31T19:15:58.257791,19,2,0,0,0,Rain,16200,None,,PS-005,Chargesheet Filed
FIR-000119,Theft,2,Central Zone,26.901889,75.796373,2025-12-25T02:35:58.257791,2,3,1,0,0,Clear,14500,None,,PS-008,Chargesheet Filed
FIR-000120,Theft,3,Old City,26.908056,75.809852,2025-10-21T19:44:58.257791,19,1,0,0,0,Cloudy,16200,None,P-00582,PS-005,Under Investigation
FIR-000121,Burglary,4,Old City,26.921562,75.799197,2026-04-10T11:44:58.257791,11,4,0,0,0,Rain,16200,None,P-00034,PS-002,Closed
FIR-000122,Burglary,3,East Ward,26.908799,75.839631,2026-03-26T22:20:58.257791,22,3,1,0,0,Cloudy,10800,None,P-00094,PS-006,Chargesheet Filed
FIR-000123,Extortion,3,North District,26.929916,75.815351,2026-02-27T09:12:58.257791,9,4,0,0,0,Clear,8200,None,P-00139,PS-008,Chargesheet Filed
FIR-000124,Vehicle Theft,1,South Division,26.864062,75.786957,2026-05-17T16:18:58.257791,16,6,0,1,0,Rain,6400,None,P-00482,PS-007,Under Investigation
FIR-000125,Narcotics,4,Industrial Belt,26.857618,75.758685,2025-11-23T09:57:58.257791,9,6,0,1,0,Clear,3100,None,P-00226,PS-004,Cold
FIR-000126,Cybercrime,1,East Ward,26.900423,75.83638,2025-10-05T22:33:58.257791,22,6,1,1,0,Clear,10800,None,,PS-008,Under Investigation
FIR-000127,Burglary,2,South Division,26.86243,75.798586,2026-06-28T22:03:58.257791,22,6,1,1,0,Fog,6400,None,P-00528,PS-004,Under Investigation
FIR-000128,Theft,3,East Ward,26.909483,75.834771,2026-02-02T18:21:58.257791,18,0,0,0,0,Clear,10800,None,,PS-007,Chargesheet Filed
FIR-000129,Cybercrime,2,Old City,26.921558,75.814553,2025-09-14T05:59:58.257791,5,6,0,1,0,Clear,16200,None,,PS-007,Closed
FIR-000130,Vehicle Theft,1,East Ward,26.914254,75.822276,2026-01-20T09:33:58.257791,9,1,0,0,0,Rain,10800,None,P-00265,PS-006,Closed
FIR-000131,Theft,2,North District,26.912511,75.81307,2026-05-29T06:49:58.257791,6,4,0,0,0,Clear,8200,None,P-00245,PS-007,Closed
FIR-000132,Assault,4,South Division,26.881004,75.788122,2025-12-19T03:15:58.257791,3,4,1,0,0,Cloudy,6400,Improvised,P-00483,PS-002,Closed
FIR-000133,Assault,2,North District,26.911861,75.81109,2026-07-13T16:57:58.257791,16,0,0,0,0,Cloudy,8200,Blunt Object,P-00489,PS-001,Closed
FIR-000134,Assault,2,Industrial Belt,26.862487,75.777258,2026-02-17T07:40:58.257791,7,1,0,0,0,Clear,3100,Blunt Object,P-00275,PS-006,Chargesheet Filed
FIR-000135,Assault,2,Industrial Belt,26.851609,75.766091,2025-09-21T23:18:58.257791,23,6,1,1,0,Cloudy,3100,Improvised,,PS-005,Under Investigation
FIR-000136,Theft,2,Old City,26.914046,75.794202,2026-03-16T06:54:58.257791,6,0,0,0,0,Cloudy,16200,None,,PS-006,Under Investigation
FIR-000137,Burglary,3,West Sector,26.88342,75.770791,2025-12-24T18:25:58.257791,18,2,0,0,0,Clear,9100,None,,PS-002,Under Investigation
FIR-000138,Theft,3,North District,26.911471,75.819843,2026-02-14T01:02:58.257791,1,5,1,1,0,Clear,8200,None,,PS-006,Cold
FIR-000139,Assault,2,Old City,26.910838,75.793919,2025-11-28T17:43:58.257791,17,4,0,0,0,Cloudy,16200,None,,PS-007,Closed
FIR-000140,Theft,1,Old City,26.925809,75.799165,2026-01-15T14:38:58.257791,14,3,0,0,1,Clear,16200,None,,PS-002,Chargesheet Filed
FIR-000141,Burglary,4,South Division,26.87094,75.797049,2025-09-24T00:27:58.257791,0,2,1,0,0,Clear,6400,None,,PS-001,Under Investigation
FIR-000142,Burglary,4,South Division,26.874115,75.792511,2026-03-07T02:38:58.257791,2,5,1,1,0,Cloudy,6400,None,,PS-005,Under Investigation
FIR-000143,Theft,3,West Sector,26.901966,75.778237,2025-08-05T07:33:58.257791,7,1,0,0,0,Clear,9100,None,P-00161,PS-001,Chargesheet Filed
FIR-000144,Narcotics,4,Central Zone,26.898098,75.802286,2026-06-05T03:37:58.257791,3,4,1,0,0,Rain,14500,None,P-00353,PS-001,Under Investigation
FIR-000145,Assault,3,West Sector,26.899152,75.769137,2026-03-10T22:20:58.257791,22,1,1,0,0,Fog,9100,None,P-00429,PS-008,Closed
FIR-000146,Burglary,3,West Sector,26.893836,75.774217,2025-11-10T17:24:58.257791,17,0,0,0,0,Clear,9100,None,P-00437,PS-003,Closed
FIR-000147,Vehicle Theft,2,East Ward,26.916752,75.827007,2026-02-23T18:39:58.257791,18,0,0,0,0,Heatwave,10800,None,P-00278,PS-002,Under Investigation
FIR-000148,Theft,3,Central Zone,26.911494,75.801202,2025-09-21T12:09:58.257791,12,6,0,1,0,Clear,14500,None,P-00159,PS-007,Cold
FIR-000149,Fraud,3,Central Zone,26.906282,75.795627,2026-01-28T13:57:58.257791,13,2,0,0,0,Cloudy,14500,None,P-00285,PS-004,Chargesheet Filed
FIR-000150,Burglary,2,South Division,26.867601,75.77808,2026-03-21T03:43:58.257791,3,5,1,1,0,Fog,6400,None,,PS-008,Closed
FIR-000151,Cybercrime,2,Old City,26.907533,75.793697,2025-09-15T06:28:58.257791,6,0,0,0,1,Cloudy,16200,None,P-00453,PS-002,Closed
FIR-000152,Assault,5,Old City,26.919425,75.815844,2025-08-07T04:30:58.257791,4,3,1,0,0,Clear,16200,Blunt Object,P-00445,PS-004,Chargesheet Filed
FIR-000153,Vehicle Theft,3,Central Zone,26.910113,75.795745,2026-01-31T17:46:58.257791,17,5,0,1,0,Clear,14500,None,P-00024,PS-004,Closed
FIR-000154,Narcotics,3,South Division,26.870005,75.780668,2026-07-12T13:19:58.257791,13,6,0,1,0,Heatwave,6400,None,,PS-006,Chargesheet Filed
FIR-000155,Theft,1,Industrial Belt,26.864369,75.767752,2025-11-29T08:37:58.257791,8,5,0,1,0,Heatwave,3100,None,P-00352,PS-007,Under Investigation
FIR-000156,Fraud,3,South Division,26.881741,75.795154,2025-12-07T16:25:58.257791,16,6,0,1,0,Clear,6400,None,P-00528,PS-001,Under Investigation
FIR-000157,Vehicle Theft,3,West Sector,26.893561,75.781898,2025-08-16T05:16:58.257791,5,5,0,1,0,Rain,9100,None,P-00194,PS-002,Chargesheet Filed
FIR-000158,Narcotics,2,West Sector,26.889348,75.770921,2026-06-28T04:00:58.257791,4,6,1,1,0,Fog,9100,None,,PS-008,Chargesheet Filed
FIR-000159,Assault,5,South Division,26.874789,75.791638,2025-11-29T02:12:58.257791,2,5,1,1,0,Clear,6400,Knife,,PS-003,Closed
FIR-000160,Burglary,4,North District,26.911799,75.823213,2026-02-01T12:14:58.257791,12,6,0,1,0,Rain,8200,None,P-00321,PS-005,Under Investigation
FIR-000161,Burglary,4,Old City,26.90847,75.813422,2025-09-29T22:29:58.257791,22,0,1,0,0,Clear,16200,None,,PS-003,Closed
FIR-000162,Vehicle Theft,3,Central Zone,26.9096,75.811338,2026-04-13T17:46:58.257791,17,0,0,0,0,Heatwave,14500,None,,PS-006,Closed
FIR-000163,Vehicle Theft,2,West Sector,26.904531,75.763342,2026-04-01T14:01:58.257791,14,2,0,0,0,Fog,9100,None,,PS-006,Under Investigation
FIR-000164,Narcotics,4,Central Zone,26.892727,75.799971,2025-10-11T02:29:58.257791,2,5,1,1,0,Rain,14500,None,,PS-001,Chargesheet Filed
FIR-000165,Vehicle Theft,2,Riverside,26.883034,75.820849,2026-04-21T01:38:58.257791,1,1,1,0,0,Clear,5200,None,P-00202,PS-002,Cold
FIR-000166,Fraud,1,North District,26.924553,75.823619,2026-05-13T10:06:58.257791,10,2,0,0,0,Clear,8200,None,P-00491,PS-008,Under Investigation
FIR-000167,Theft,1,Industrial Belt,26.869747,75.761181,2025-12-10T11:08:58.257791,11,2,0,0,0,Clear,3100,None,P-00155,PS-004,Under Investigation
FIR-000168,Fraud,2,Old City,26.92196,75.794753,2026-03-28T07:57:58.257791,7,5,0,1,0,Cloudy,16200,None,P-00326,PS-002,Closed
FIR-000169,Robbery,5,North District,26.918314,75.82972,2026-05-24T00:29:58.257791,0,6,1,1,0,Cloudy,8200,Blunt Object,,PS-004,Closed
FIR-000170,Vehicle Theft,2,East Ward,26.908147,75.825887,2026-03-16T18:07:58.257791,18,0,0,0,0,Rain,10800,None,P-00214,PS-005,Under Investigation
FIR-000171,Burglary,3,East Ward,26.895675,75.836159,2026-01-17T02:34:58.257791,2,5,1,1,0,Cloudy,10800,None,P-00005,PS-006,Chargesheet Filed
FIR-000172,Assault,4,South Division,26.86027,75.798689,2026-04-05T23:02:58.257791,23,6,1,1,0,Clear,6400,Improvised,P-00489,PS-003,Under Investigation
FIR-000173,Burglary,4,North District,26.919325,75.824434,2025-11-22T00:10:58.257791,0,5,1,1,0,Cloudy,8200,None,,PS-004,Closed
